,product,link,review_count,star
33,[기프티콘] 이마트/트레이더스 3만원권,https://www.11st.co.kr/products/4730241117?inpu=&trTypeCd=22&trCtgrNo=895019,1015,4.9
34,NEW 네오에디션 밀폐용기/이유식 용기/렌지쿡/텀블러 모음,https://www.11st.co.kr/products/2123990378?inpu=&trTypeCd=22&trCtgrNo=895019,17170,4.6
35,"[농할가16,720원] 거창군농협 햇 홍로사과 3kg 5kg #16개내 #27개내",https://www.11st.co.kr/products/3749557832?inpu=&trTypeCd=22&trCtgrNo=895019,3198,4.5
36,[아가방x디어베이비] 35% 겨울 역시즌 점퍼/내의/상하복/티셔츠 外 100종,https://www.11st.co.kr/products/2818395689?inpu=&trTypeCd=22&trCtgrNo=895019,10401,4.7
37,KF94 올국산 비움 오나미 에코브리즈 마스크 100매 에코프로 플러스 새부리형 대형 화,https://www.11st.co.kr/products/3809546339?inpu=&trTypeCd=22&trCtgrNo=895019,30885,4.6
38,[닥스키즈]간절기/역시즌 BEST추천템/긴팔/바지/원피스/경량패딩 외,https://www.11st.co.kr/products/2453470489?inpu=&trTypeCd=22&trCtgrNo=895019,4387,4.8
39,[오늘예판마감][사전판매] 삼성갤럭시워치5|워치5프로 시리즈 모음전 블루투스 공식인,https://www.11st.co.kr/products/4651452695?inpu=&trTypeCd=22&trCtgrNo=895019,187,5
40,[타미힐피거/타미진]본사 단독 가을프리뷰! ~30%OFF+추가최대할인! 남녀셔츠/티/점퍼/,https://www.11st.co.kr/products/4672199693?inpu=&trTypeCd=&trCtgrNo=,160,4.5
41,LG 32UN650 80cm 4K 모니터( IPS / HDR /스피커내장),https://www.11st.co.kr/products/3068139028?inpu=&trTypeCd=&trCtgrNo=,691,4.9
42,[클리티룸] 중량up 마이크로필에버 호텔식 베개솜 2개 / 베개커버2장 추천,https://www.11st.co.kr/products/4622451429?inpu=&trTypeCd=&trCtgrNo=,55,4.7
43,[아임닭] 국가대표 닭가슴살/스테이크/소시지 외 BEST 97종 골라담기,https://www.11st.co.kr/products/1043900337?inpu=&trTypeCd=&trCtgrNo=,363634,4.6
44,[단하루 KF94 대형30매 GIFT] 여름용 애니가드 키즈 라이트 새부리 소형1(6~9세)/소형,https://www.11st.co.kr/products/3337972948?inpu=&trTypeCd=&trCtgrNo=,6762,4.6
45,"[최종혜택가 9,980원+사은품][3M] 걸이형 스펀지 수세미 혼합팩 12매입(걸이포함) 외",https://www.11st.co.kr/products/2611604503?inpu=&trTypeCd=&trCtgrNo=,3912,4.6
